YYYY/MM/DD,Wdy,USD/EUR
5/13/2016,Fri,1.1294
5/16/2016,Mon,1.1328
5/17/2016,Tue,1.1337
5/18/2016,Wed,1.1276
5/19/2016,Thu,1.1214
5/20/2016,Fri,1.1207
5/24/2016,Tue,1.1144
5/25/2016,Wed,1.1153
5/26/2016,Thu,1.1183
5/27/2016,Fri,1.1139
5/30/2016,Mon,1.1136
5/31/2016,Tue,1.1134
6/1/2016,Wed,1.1163
6/2/2016,Thu,1.1156
6/3/2016,Fri,1.1328
6/6/2016,Mon,1.1353
6/7/2016,Tue,1.1349
6/8/2016,Wed,1.1401
6/9/2016,Thu,1.1328
6/10/2016,Fri,1.128
6/13/2016,Mon,1.1281
6/14/2016,Tue,1.1204
6/15/2016,Wed,1.1237
6/16/2016,Thu,1.1157
6/17/2016,Fri,1.1255
6/20/2016,Mon,1.1317
6/21/2016,Tue,1.1261
6/22/2016,Wed,1.1287
6/23/2016,Thu,1.1371
6/24/2016,Fri,1.1123
6/27/2016,Mon,1.1022
6/28/2016,Tue,1.1053
6/29/2016,Wed,1.1117
6/30/2016,Thu,1.1034
7/4/2016,Mon,1.1144
7/5/2016,Tue,1.1079
7/6/2016,Wed,1.1076
7/7/2016,Thu,1.1064
7/8/2016,Fri,1.1036
7/11/2016,Mon,1.1043
7/12/2016,Tue,1.1073
7/13/2016,Wed,1.1111
7/14/2016,Thu,1.1107
7/15/2016,Fri,1.1058
7/18/2016,Mon,1.1076
7/19/2016,Tue,1.1014
7/20/2016,Wed,1.1005
7/21/2016,Thu,1.1016
7/22/2016,Fri,1.0968
7/25/2016,Mon,1.0979
7/26/2016,Tue,1.0983
7/27/2016,Wed,1.0988
7/28/2016,Thu,1.1094
7/29/2016,Fri,1.1169
8/2/2016,Tue,1.1224
8/3/2016,Wed,1.117
8/4/2016,Thu,1.1132
8/5/2016,Fri,1.108
8/8/2016,Mon,1.1089
8/9/2016,Tue,1.1109
8/10/2016,Wed,1.1171
8/11/2016,Thu,1.1168
8/12/2016,Fri,1.1172
8/15/2016,Mon,1.1197
8/16/2016,Tue,1.1277
8/17/2016,Wed,1.1262
8/18/2016,Thu,1.1333
8/19/2016,Fri,1.1326
8/22/2016,Mon,1.1313
8/23/2016,Tue,1.1308
8/24/2016,Wed,1.1257
8/25/2016,Thu,1.1274
8/26/2016,Fri,1.1238
8/29/2016,Mon,1.1181
8/30/2016,Tue,1.115
8/31/2016,Wed,1.1146
9/1/2016,Thu,1.1194
9/2/2016,Fri,1.1157
9/6/2016,Tue,1.1236
9/7/2016,Wed,1.1237
9/8/2016,Thu,1.1257
9/9/2016,Fri,1.1214
9/12/2016,Mon,1.123
9/13/2016,Tue,1.1241
9/14/2016,Wed,1.1271
9/15/2016,Thu,1.1244
9/16/2016,Fri,1.1159
9/19/2016,Mon,1.1179
9/20/2016,Tue,1.1172
9/21/2016,Wed,1.1163
9/22/2016,Thu,1.1229
9/23/2016,Fri,1.1223
9/26/2016,Mon,1.1268
9/27/2016,Tue,1.1208
9/28/2016,Wed,1.12
9/29/2016,Thu,1.1245
9/30/2016,Fri,1.1238
10/3/2016,Mon,1.1211
10/4/2016,Tue,1.1213
10/5/2016,Wed,1.1194
10/6/2016,Thu,1.1157
